mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7673204421997071,0.03502644369429408,0.011647701263427734,0.003568164788981819,0.9,0.01,1e-05,800,10,0.01,0.2,1.0,"{'subsample': 0.9, 'reg_lambda': 0.01, 'reg_alpha': 1e-05, 'n_estimators': 800, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 1.0}",-0.009790035896003246,-0.010058034211397171,-0.009705014526844025,-0.009830361232161522,-0.01007523387670517,-0.009891735948622226,0.00014852693202709456,32
0.13304219245910645,0.013836949328150851,0.0035463809967041016,0.001029979571086111,0.8,0.1,1e-05,100,4,0.1,0.2,1.0,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1e-05, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 1.0}",-0.009831123054027557,-0.010068224743008614,-0.00971302017569542,-0.009857913479208946,-0.010128449648618698,-0.009919746220111847,0.0001549296638391445,33
0.7721141338348388,0.02565913348074397,0.02006378173828125,0.018442999355674672,0.7,0.0,0.01,800,3,0.05,0.2,0.9,"{'subsample': 0.7, 'reg_lambda': 0, 'reg_alpha': 0.01, 'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.9}",-0.010159428231418133,-0.010577665641903877,-0.010183857753872871,-0.010286234319210052,-0.01042708195745945,-0.010326853580772876,0.00015689575904356996,34
0.5284815788269043,0.015148985893087406,0.009476900100708008,0.0022426185818520553,0.7,0.01,0.01,500,4,0.01,0.2,1.0,"{'subsample': 0.7, 'reg_lambda': 0.01, 'reg_alpha': 0.01, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 1.0}",-0.010381748899817467,-0.010699455626308918,-0.010345544666051865,-0.010475633665919304,-0.010681476444005966,-0.010516771860420705,0.0001481507753617355,35
0.5217512607574463,0.019075619222833108,0.012028980255126952,0.0018660375724747164,0.7,0.0,0.01,500,5,0.01,0.2,0.6,"{'subsample': 0.7, 'reg_lambda': 0, 'reg_alpha': 0.01, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.6}",-0.010270962491631508,-0.010806486941874027,-0.010367965325713158,-0.010571773163974285,-0.010712165385484695,-0.010545870661735535,0.00020172780215797862,36
0.7403159141540527,0.037672306400832654,0.01147756576538086,0.00287123448260145,0.6,0.1,0.1,800,10,0.1,0.2,0.6,"{'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 800, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.6}",-0.010399134829640388,-0.010929154232144356,-0.010480304248631,-0.010818534530699253,-0.01074072066694498,-0.010673569701611995,0.00020174912160151682,37
0.5079033851623536,0.025712732469432717,0.011945724487304688,0.0014950010339430124,0.7,1e-05,1.0,500,3,0.2,0.2,0.6,"{'subsample': 0.7, 'reg_lambda': 1e-05, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.6}",-0.010500386357307434,-0.010984906926751137,-0.010639526881277561,-0.01085682027041912,-0.010830730199813843,-0.010762474127113819,0.0001713723787034051,38
0.23138189315795898,0.02010414036917069,0.005440759658813477,0.0014462970900456682,0.6,1e-05,1.0,200,6,0.2,0.2,0.7,"{'subsample': 0.6, 'reg_lambda': 1e-05, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.7}",-0.010853666812181473,-0.011302348226308823,-0.011108031496405602,-0.011128516867756844,-0.01137577835470438,-0.011153668351471423,0.00018119315768951768,39
0.7998535633087158,0.08589346479520167,0.012708759307861328,0.0016464010100467879,0.6,1e-05,1.0,800,8,0.05,0.2,0.8,"{'subsample': 0.6, 'reg_lambda': 1e-05, 'reg_alpha': 1, 'n_estimators': 800, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.8}",-0.011266781948506832,-0.011759638786315918,-0.011276248842477798,-0.01150796003639698,-0.01167568564414978,-0.011497263051569461,0.0002013747217009152,40
0.4371617317199707,0.053273592235076495,0.011397314071655274,0.001622886742225858,1.0,0.0,0.0,500,10,0.2,0.5,0.9,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.5, 'colsample_bytree': 0.9}",-0.011378593742847443,-0.012023935094475746,-0.011434998363256454,-0.012141043320298195,-0.012090657837688923,-0.011813845671713352,0.00033490009457589096,41
0.7740009784698486,0.020528898992464146,0.01681861877441406,0.0032720690723937857,1.0,0.0,0.0,1000,10,0.2,0.5,0.7,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0, 'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.5, 'colsample_bytree': 0.7}",-0.011409245431423187,-0.01212167739868164,-0.01151759922504425,-0.012268835678696632,-0.012209189124405384,-0.011905309371650219,0.000365433439560641,42
0.4856424808502197,0.05926181588916348,0.011922264099121093,0.0014189740760440096,0.9,1.0,0.01,500,5,0.1,0.5,0.8,"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.01, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.8}",-0.01201548520475626,-0.012666438706219196,-0.0121773611754179,-0.012558860704302788,-0.012588148936629295,-0.012401258945465088,0.0002565299511372057,43
0.20560436248779296,0.02169407319047145,0.004526329040527344,0.0016662686817355077,0.9,0.0,0.1,200,8,0.1,0.5,0.8,"{'subsample': 0.9, 'reg_lambda': 0, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.8}",-0.012024719268083572,-0.012753366492688656,-0.012186551466584206,-0.012565472163259983,-0.012599512003362179,-0.012425924278795719,0.00027389396395842777,44
0.43004941940307617,0.0163570413933324,0.01290736198425293,0.00523233720187813,0.9,0.1,0.0,500,5,0.05,0.5,0.7,"{'subsample': 0.9, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.7}",-0.012268925085663795,-0.0128286462277174,-0.012350890785455704,-0.012640229426324368,-0.012722726911306381,-0.01256228368729353,0.00021610774970062,45
0.9911338329315186,0.024506503215967024,0.018363046646118163,0.005507740361691827,0.7,1e-05,0.01,1000,10,0.2,0.5,0.9,"{'subsample': 0.7, 'reg_lambda': 1e-05, 'reg_alpha': 0.01, 'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.5, 'colsample_bytree': 0.9}",-0.012425696477293968,-0.0129562858492136,-0.012468179687857628,-0.012802702374756336,-0.012795006856322289,-0.012689574249088764,0.00020673466826653955,46
0.33797540664672854,0.04745878825686693,0.010794973373413086,0.0027974735146537306,0.8,1.0,1.0,200,8,0.01,0.0,0.6,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.6}",-0.012289775535464287,-0.013035835698246956,-0.01267264410853386,-0.012970615178346634,-0.012965826317667961,-0.012786939367651939,0.00027853976735699095,47
0.9011239051818848,0.010991679629787905,0.017760229110717774,0.0015191638636723396,0.7,0.01,0.0,1000,6,0.1,0.5,0.6,"{'subsample': 0.7, 'reg_lambda': 0.01, 'reg_alpha': 0, 'n_estimators': 1000, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.6}",-0.012718082405626774,-0.013224082998931408,-0.012680727988481522,-0.013122335076332092,-0.01321568712592125,-0.01299218311905861,0.0002419944738284013,48
0.22106080055236815,0.02582238586858943,0.006163644790649414,0.0019316473255708568,0.7,1.0,1e-05,200,10,0.1,0.5,0.9,"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 1e-05, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.9}",-0.012764346785843372,-0.013322675600647926,-0.012897126376628876,-0.013100756332278252,-0.013215026818215847,-0.013059986382722854,0.00020427016594044554,49
0.4083389759063721,0.013114265109339395,0.007839298248291016,0.0033007537456428036,0.9,1e-05,0.1,100,6,0.01,0.0,0.8,"{'subsample': 0.9, 'reg_lambda': 1e-05, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.8}",-0.013527510687708855,-0.014078122563660145,-0.013881033286452293,-0.014115285128355026,-0.014071204699575901,-0.013934631273150444,0.00021931611063777544,50
